interaction_id,customer_id,timestamp,channel,issue_category,resolution_status,transcript
INT-0000001,CUST-100001,2026-05-14,Email,Feature Request,Resolved,"Agent: Hi, thanks for contacting support. How can I help?
Customer: I had a quick question about reporting.
Agent: Of course. You can find that under Analytics > Reports.
Customer: Found it. That was exactly what I needed, thanks.
Agent: Happy to help. Is there anything else?
Customer: No, that's all. The platform has been working well."
INT-0000002,CUST-100001,2026-02-27,Phone,Product,Resolved,"Agent: Hi, thanks for contacting support. How can I help?
Customer: I had a quick question about reporting.
Agent: Of course. You can find that under Analytics > Reports.
Customer: Found it. That was exactly what I needed, thanks.
Agent: Happy to help. Is there anything else?
Customer: No, that's all. The platform has been working well."
INT-0000003,CUST-100001,2026-07-08,Email,Billing,Resolved,"Agent: Hi, thanks for contacting support. How can I help?
Customer: I had a quick question about reporting.
Agent: Of course. You can find that under Analytics > Reports.
Customer: Found it. That was exactly what I needed, thanks.
Agent: Happy to help. Is there anything else?
Customer: No, that's all. The platform has been working well."
INT-0000004,CUST-100001,2026-05-11,Chat,Billing,Resolved,"Agent: Hi, thanks for contacting support. How can I help?
Customer: I had a quick question about reporting.
Agent: Of course. You can find that under Analytics > Reports.
Customer: Found it. That was exactly what I needed, thanks.
Agent: Happy to help. Is there anything else?
Customer: No, that's all. The platform has been working well."
INT-0000005,CUST-100001,2026-02-18,Email,Account,Resolved,"Agent: Hi, thanks for contacting support. How can I help?
Customer: I had a quick question about reporting.
Agent: Of course. You can find that under Analytics > Reports.
Customer: Found it. That was exactly what I needed, thanks.
Agent: Happy to help. Is there anything else?
Customer: No, that's all. The platform has been working well."
INT-0000006,CUST-100002,2026-07-24,Chat,Product,Unresolved,"Agent: I can help with that. What seems to be the issue?
Customer: The dashboard keeps timing out when I generate a report.
Agent: I'm sorry. I'll check the service logs.
Customer: I've already reported this twice. It worked for a day after the last fix and then broke again.
Agent: I see the previous tickets. I'll escalate this.
Customer: That's what happened last time too. I really need this resolved."
INT-0000007,CUST-100002,2026-07-15,Email,Product,Resolved,"Agent: I can help with that. What seems to be the issue?
Customer: The dashboard keeps timing out when I generate a report.
Agent: I'm sorry. I'll check the service logs.
Customer: I've already reported this twice. It worked for a day after the last fix and then broke again.
Agent: I see the previous tickets. I'll escalate this.
Customer: That's what happened last time too. I really need this resolved."
INT-0000008,CUST-100002,2026-02-07,Email,Billing,Resolved,"Agent: I can help with that. What seems to be the issue?
Customer: The dashboard keeps timing out when I generate a report.
Agent: I'm sorry. I'll check the service logs.
Customer: I've already reported this twice. It worked for a day after the last fix and then broke again.
Agent: I see the previous tickets. I'll escalate this.
Customer: That's what happened last time too. I really need this resolved."
INT-0000009,CUST-100002,2026-03-24,Email,Performance,Resolved,"Agent: I can help with that. What seems to be the issue?
Customer: The dashboard keeps timing out when I generate a report.
Agent: I'm sorry. I'll check the service logs.
Customer: I've already reported this twice. It worked for a day after the last fix and then broke again.
Agent: I see the previous tickets. I'll escalate this.
Customer: That's what happened last time too. I really need this resolved."
INT-0000010,CUST-100002,2026-06-21,Phone,Technical,Unresolved,"Agent: I can help with that. What seems to be the issue?
Customer: The dashboard keeps timing out when I generate a report.
Agent: I'm sorry. I'll check the service logs.
Customer: I've already reported this twice. It worked for a day after the last fix and then broke again.
Agent: I see the previous tickets. I'll escalate this.
Customer: That's what happened last time too. I really need this resolved."
INT-0000011,CUST-100002,2026-06-16,Email,Billing,Resolved,"Agent: I can help with that. What seems to be the issue?
Customer: The dashboard keeps timing out when I generate a report.
Agent: I'm sorry. I'll check the service logs.
Customer: I've already reported this twice. It worked for a day after the last fix and then broke again.
Agent: I see the previous tickets. I'll escalate this.
Customer: That's what happened last time too. I really need this resolved."
INT-0000012,CUST-100002,2026-06-06,Email,Feature Request,Unresolved,"Agent: I can help with that. What seems to be the issue?
Customer: The dashboard keeps timing out when I generate a report.
Agent: I'm sorry. I'll check the service logs.
Customer: I've already reported this twice. It worked for a day after the last fix and then broke again.
Agent: I see the previous tickets. I'll escalate this.
Customer: That's what happened last time too. I really need this resolved."
INT-0000013,CUST-100002,2026-04-20,Phone,Performance,Unresolved,"Agent: I can help with that. What seems to be the issue?
Customer: The dashboard keeps timing out when I generate a report.
Agent: I'm sorry. I'll check the service logs.
Customer: I've already reported this twice. It worked for a day after the last fix and then broke again.
Agent: I see the previous tickets. I'll escalate this.
Customer: That's what happened last time too. I really need this resolved."
INT-0000014,CUST-100002,2026-07-26,Email,Technical,Resolved,"Agent: I can help with that. What seems to be the issue?
Customer: The dashboard keeps timing out when I generate a report.
Agent: I'm sorry. I'll check the service logs.
Customer: I've already reported this twice. It worked for a day after the last fix and then broke again.
Agent: I see the previous tickets. I'll escalate this.
Customer: That's what happened last time too. I really need this resolved."
INT-0000015,CUST-100003,2026-03-03,Email,Account,Resolved,"Agent: How can I help?
Customer: I'm really frustrated with the new dashboard. It took me forever to find the report.
Agent: I'm sorry about that. Let me show you where it is.
Customer: Okay, I found it now. Thanks for walking me through it.
Agent: Of course. Anything else?
Customer: No. Apart from that, the product is working very well for us."
INT-0000016,CUST-100003,2026-06-02,Email,Technical,Resolved,"Agent: How can I help?
Customer: I'm really frustrated with the new dashboard. It took me forever to find the report.
Agent: I'm sorry about that. Let me show you where it is.
Customer: Okay, I found it now. Thanks for walking me through it.
Agent: Of course. Anything else?
Customer: No. Apart from that, the product is working very well for us."
