feedback_id,customer_id,feedback_date,csat_score,feedback_text
FB-0000001,CUST-100001,2026-06-28,9.1,The platform has been reliable and support was helpful.
FB-0000002,CUST-100001,2026-06-10,6.6,Everything worked well and the issue was resolved quickly.
FB-0000003,CUST-100001,2026-05-25,7.2,The platform has been reliable and support was helpful.
FB-0000004,CUST-100002,2026-06-17,4.7,I've contacted support multiple times for the same issue.
FB-0000005,CUST-100002,2026-07-07,4.2,I've contacted support multiple times for the same issue.
FB-0000006,CUST-100002,2026-02-17,2.9,The problem is still unresolved and this is becoming frustrating.
FB-0000007,CUST-100003,2026-06-22,9.6,"I was frustrated by the new interface, but overall the product is valuable."
FB-0000008,CUST-100003,2026-07-09,7.5,"The issue was annoying, but the team resolved it quickly."
FB-0000009,CUST-100004,2026-04-09,10.0,Everything worked well and the issue was resolved quickly.
FB-0000010,CUST-100004,2026-06-19,10.0,The platform has been reliable and support was helpful.
FB-0000011,CUST-100004,2026-06-04,8.2,Everything worked well and the issue was resolved quickly.
FB-0000012,CUST-100005,2026-05-22,9.6,The platform has been reliable and support was helpful.
FB-0000013,CUST-100005,2026-07-21,7.9,Everything worked well and the issue was resolved quickly.
FB-0000014,CUST-100005,2026-03-04,7.5,Everything worked well and the issue was resolved quickly.
FB-0000015,CUST-100005,2026-06-23,8.7,The platform has been reliable and support was helpful.
FB-0000016,CUST-100006,2026-06-09,8.3,Everything worked well and the issue was resolved quickly.
FB-0000017,CUST-100006,2026-04-07,8.9,Everything worked well and the issue was resolved quickly.
FB-0000018,CUST-100006,2026-07-13,7.2,The platform has been reliable and support was helpful.
FB-0000019,CUST-100006,2026-02-17,8.0,Everything worked well and the issue was resolved quickly.
FB-0000020,CUST-100007,2026-03-05,4.5,The service problems and billing issues make it difficult to justify continuing.
FB-0000021,CUST-100007,2026-05-27,2.2,We've had too many problems and are seriously considering alternatives.
FB-0000022,CUST-100007,2026-07-05,3.2,The service problems and billing issues make it difficult to justify continuing.
FB-0000023,CUST-100007,2026-05-31,2.0,The service problems and billing issues make it difficult to justify continuing.
FB-0000024,CUST-100008,2026-02-16,6.9,"I was frustrated by the new interface, but overall the product is valuable."
FB-0000025,CUST-100008,2026-05-01,7.5,"I was frustrated by the new interface, but overall the product is valuable."
FB-0000026,CUST-100008,2026-05-20,8.0,"The issue was annoying, but the team resolved it quickly."
FB-0000027,CUST-100008,2026-05-20,9.8,"I was frustrated by the new interface, but overall the product is valuable."
FB-0000028,CUST-100009,2026-02-16,10.0,Everything worked well and the issue was resolved quickly.
FB-0000029,CUST-100009,2026-03-25,9.1,Everything worked well and the issue was resolved quickly.
FB-0000030,CUST-100009,2026-06-14,8.3,The platform has been reliable and support was helpful.
FB-0000031,CUST-100010,2026-07-24,3.2,I've contacted support multiple times for the same issue.
FB-0000032,CUST-100010,2026-03-21,3.2,The problem is still unresolved and this is becoming frustrating.
FB-0000033,CUST-100011,2026-02-08,6.7,Everything worked well and the issue was resolved quickly.
FB-0000034,CUST-100011,2026-05-20,8.9,The platform has been reliable and support was helpful.
FB-0000035,CUST-100011,2026-05-26,8.2,Everything worked well and the issue was resolved quickly.
FB-0000036,CUST-100011,2026-05-01,8.4,The platform has been reliable and support was helpful.
FB-0000037,CUST-100012,2026-07-19,8.8,The platform has been reliable and support was helpful.
FB-0000038,CUST-100012,2026-05-23,8.4,Everything worked well and the issue was resolved quickly.
FB-0000039,CUST-100013,2026-05-22,9.5,The platform has been reliable and support was helpful.
FB-0000040,CUST-100013,2026-04-29,8.4,Everything worked well and the issue was resolved quickly.
FB-0000041,CUST-100013,2026-06-18,9.4,Everything worked well and the issue was resolved quickly.
FB-0000042,CUST-100014,2026-06-17,7.8,The platform has been reliable and support was helpful.
FB-0000043,CUST-100014,2026-02-10,10.0,Everything worked well and the issue was resolved quickly.
FB-0000044,CUST-100014,2026-02-23,6.1,Everything worked well and the issue was resolved quickly.
FB-0000045,CUST-100014,2026-03-27,9.4,Everything worked well and the issue was resolved quickly.
FB-0000046,CUST-100015,2026-05-05,6.0,The platform has been reliable and support was helpful.
FB-0000047,CUST-100015,2026-04-06,9.6,The platform has been reliable and support was helpful.
FB-0000048,CUST-100015,2026-02-07,7.8,The platform has been reliable and support was helpful.
FB-0000049,CUST-100016,2026-03-11,8.7,The platform has been reliable and support was helpful.
FB-0000050,CUST-100016,2026-05-18,7.3,The platform has been reliable and support was helpful.
FB-0000051,CUST-100016,2026-02-19,10.0,Everything worked well and the issue was resolved quickly.
FB-0000052,CUST-100016,2026-02-16,8.4,The platform has been reliable and support was helpful.
FB-0000053,CUST-100017,2026-03-23,7.7,I'm not sure we're getting enough value from the subscription.
FB-0000054,CUST-100017,2026-07-09,6.8,We aren't using the platform as much as before.
FB-0000055,CUST-100017,2026-05-17,8.8,I'm not sure we're getting enough value from the subscription.
FB-0000056,CUST-100018,2026-06-13,8.9,The platform has been reliable and support was helpful.
FB-0000057,CUST-100018,2026-04-23,9.2,The platform has been reliable and support was helpful.
FB-0000058,CUST-100018,2026-05-14,9.1,The platform has been reliable and support was helpful.
FB-0000059,CUST-100019,2026-06-27,3.8,I don't understand the latest invoice.
FB-0000060,CUST-100019,2026-05-13,6.4,There appears to be an unexpected charge on my account.
FB-0000061,CUST-100020,2026-07-18,8.1,The platform has been reliable and support was helpful.
FB-0000062,CUST-100020,2026-04-04,9.2,The platform has been reliable and support was helpful.
FB-0000063,CUST-100020,2026-04-13,9.0,The platform has been reliable and support was helpful.
FB-0000064,CUST-100021,2026-03-28,8.5,Everything worked well and the issue was resolved quickly.
FB-0000065,CUST-100021,2026-05-12,5.7,The platform has been reliable and support was helpful.
FB-0000066,CUST-100022,2026-05-04,4.4,There appears to be an unexpected charge on my account.
FB-0000067,CUST-100022,2026-03-31,6.8,There appears to be an unexpected charge on my account.
FB-0000068,CUST-100022,2026-04-04,4.7,I don't understand the latest invoice.
FB-0000069,CUST-100022,2026-03-18,6.6,There appears to be an unexpected charge on my account.
FB-0000070,CUST-100023,2026-03-21,8.5,We aren't using the platform as much as before.
FB-0000071,CUST-100023,2026-02-08,7.2,I'm not sure we're getting enough value from the subscription.
FB-0000072,CUST-100023,2026-04-14,8.1,We aren't using the platform as much as before.
FB-0000073,CUST-100023,2026-07-03,5.7,I'm not sure we're getting enough value from the subscription.
FB-0000074,CUST-100024,2026-07-23,5.8,I've contacted support multiple times for the same issue.
FB-0000075,CUST-100024,2026-03-10,6.6,I've contacted support multiple times for the same issue.
FB-0000076,CUST-100024,2026-04-17,4.0,The problem is still unresolved and this is becoming frustrating.
FB-0000077,CUST-100025,2026-02-28,8.0,Everything worked well and the issue was resolved quickly.
FB-0000078,CUST-100025,2026-07-16,9.6,Everything worked well and the issue was resolved quickly.
FB-0000079,CUST-100025,2026-03-07,8.7,Everything worked well and the issue was resolved quickly.
FB-0000080,CUST-100025,2026-06-12,9.1,Everything worked well and the issue was resolved quickly.
FB-0000081,CUST-100026,2026-02-25,3.3,The problem is still unresolved and this is becoming frustrating.
FB-0000082,CUST-100026,2026-02-16,4.1,The problem is still unresolved and this is becoming frustrating.
FB-0000083,CUST-100026,2026-07-05,4.8,I've contacted support multiple times for the same issue.
FB-0000084,CUST-100026,2026-05-08,4.8,The problem is still unresolved and this is becoming frustrating.
FB-0000085,CUST-100027,2026-06-05,3.8,The service problems and billing issues make it difficult to justify continuing.
FB-0000086,CUST-100027,2026-07-22,2.7,We've had too many problems and are seriously considering alternatives.
FB-0000087,CUST-100027,2026-03-01,4.0,We've had too many problems and are seriously considering alternatives.
FB-0000088,CUST-100027,2026-03-30,4.6,We've had too many problems and are seriously considering alternatives.
FB-0000089,CUST-100028,2026-04-04,3.2,We're evaluating alternatives and may move away from the platform.
FB-0000090,CUST-100028,2026-05-31,4.1,We're evaluating alternatives and may move away from the platform.
FB-0000091,CUST-100028,2026-03-21,5.1,We are considering cancelling at renewal.
FB-0000092,CUST-100029,2026-05-13,5.2,I'm not sure we're getting enough value from the subscription.
FB-0000093,CUST-100029,2026-07-17,4.7,I'm not sure we're getting enough value from the subscription.
FB-0000094,CUST-100029,2026-06-18,6.6,We aren't using the platform as much as before.
FB-0000095,CUST-100029,2026-04-25,6.2,We aren't using the platform as much as before.
FB-0000096,CUST-100030,2026-04-28,7.5,"I was frustrated by the new interface, but overall the product is valuable."
FB-0000097,CUST-100030,2026-03-13,9.5,"I was frustrated by the new interface, but overall the product is valuable."
FB-0000098,CUST-100031,2026-07-25,4.3,We're evaluating alternatives and may move away from the platform.
